id	cleaned_text	HS	TR	AG
21323	ser puta que sal callante	1	1	1
21781	que hacer una mujer cuando llega y bah a quien como le importar si es una mujer...	1	0	0
24344	conductor que transportar indocumentado es arrestado en pureza vida ser	0	0	0
23336	ser sos crack, ojalá tenia un 2018 de la puta madre te lo merecer	0	0	0
22180	ser ser . me poder enseñar de como miércoles dibujar tan bien enseñar hamaca perra aire esta moho un	1	1	1
22706	españa crea su primer campo de refugiado en la bahía de algeciras. inmigrante ilegal sandez dimisión elecciones ya	0	0	0
20955	sin eta esto no ser lo mismo alerta como harem para asustar a los paleto lo de venezuela ya no se lo trata ni el más imbécil... no me esas lila pablo tenedor a los negrada y los moro que viento por misiones a quitarnos el pan joderrrr	1	0	1
21040	comer con mí novia es lo mejor que este alta perra encima	1	1	1
20486	ser callante perra tonta	1	1	1
20345	los inmigrante en hostalero a pensión completa y los español durmiente en el coche	1	0	0
20909	ser el hijo de puta queso estirar el pase al arquero hasta el último momento derecha ser gol y que lo mate	0	0	0
23671	martes nunca se acabo por favor  cara sonriendo con ojos de corazón  fuego  gotas de sudor 	0	0	0
20317	solo los puto charol ignorante y los sudanés resentido pueden idolatrar a un personaje tan deleznable vez el imperio anti libre el petróleo de venezuela	1	0	1
22002	ser la puta madre callante	0	0	0
23323	visto cuando decir que no te gusto un tema la primera vez que lo escucha y después lo terminar escuchador gran parte del dial me esto pasado con árabe de eco jajajaja	0	0	0
21839	si estados cogienda ejemplo de los arabesco mal famoso	1	0	0
21325	uf cuando buena árabe en le la se me para el pene	0	0	0
22651	ser el problema de ser un imbécil no es serlo,es demostrarlo.	0	0	0
23746	el curioso caso del hombre que solo ve marxismo si el acusado es un árabe	0	0	0
23056	pedro sánchez ceder y autorizar a en arma a desembarcar 87 inmigrante ilegal - rambla libre que importancia tener estas misiones cuando por las costa de cáliz en apoyo de las mafias, estados admitiendo a mies cada semana dije pedro sánchez.	0	0	0
20543	ser ser a saber que hijo de puta te la enseñar	0	0	0
23602	modo hasta la polla de la gente imbécil	0	0	0
22664	ser ser deja de escribir burradas... uso tus imbécil manito para cascarela pensado en la polla de ser	0	0	0
20978	a toda mis primitas les enseñar a decir ti es mi prima la puta madre prima	0	0	0
23583	ser que te calle polla vieja o pirata de mi perfil a tres más pedazo a un kilo de mierda	0	0	0
22555	deja de gastar dinero en tontería gilipollas de la polla	0	0	0
20893	la en más perra que ellas y siempre esto criticador estas mujer que vivez en competencia son una comedia ridícula	1	0	1
22849	por favor...	0	0	0
24722	| twitteros de mi corazón conocer a una chica inmigrante de el salvador a esto aquí hacer 4 mese en busca de una vida mejor junto a sus padre esto buscador trabajo tizne más estudio a todo nosotros junto y documentación en regla me ayuda a mejorable la vida gracias manos en oración tono de piel claro medio 	0	0	0
