id	cleaned_text	HS	TR	AG
7317	how to cure yourself from reporting pics and pages i	0	0	0
7428	i started stroking it instead	0	0	0
1894	minnesota mainline churches going the way of the dodo bird via user sad days in minnestastan...	0	0	0
3395	photo of shooter in ten church attack | sudanese immigrant arrested‘¦emanuel sampson, 25, from sudan	0	0	0
4832	i use to get sky at my dads house but his whore girlfriend never use to let me watch it	1	1	0
6030	user hey bitch stop selling yourself to user run cunt run	1	1	0
1650	i am a proud medical immigrants i love this country have been told all my life i should be a democrat because ism mexican, an immigrant and a minority that is absolute trash the democrats hate america and want to take away our rights given to us in the constitution	0	0	0
5770	ladies you need to realize something you may have a boyfriend but unless there's a ring you're still fair game i	1	0	0
4454	farm workers protest in italy after migrant crash deaths	0	0	0
6000	that bitch wanna act funny bitch ma act hysterical	1	1	0
6740	user yeah but i think ram is something you can't ever have enough of maybe when you can load the entire he into memory...	0	0	0
3734	we need to eradicate the stereotype that are here to take	0	0	0
4559	making america safe again user	1	1	0
2279	morgue acquires more freezers after huge increase in immigrant crossing deaths	0	0	0
8685	user user says the woman who votes for rape enabling criminal and supports killing babies	0	0	0
4247	facebook's new political advertising policy denounced by immigrants civil rights groups a wide range of advocates for immigrants and civil rights groups say facebook’s definition of political advertising has become so broad that they are being prevented i	0	0	0
7239	introducing the him over 30 and no man wants me pillow	0	0	0
5740	i don't take you places because i wanna be friends my car doesn't run on friendship bitch it runs on ethanol	1	1	0
1660	video opens refugee camp after becoming new destination for migrants	0	0	0
1025	help user continue the amazing campaigning training camp frontline support they provide red the state violence that is no family (&amp; no one should be forced to live in poverty due to immigration status if you've any leads on office spaces to rent let them know	0	0	0
6035	god fucking shit cunt dammit bitch pretentious cock sucker..... i dropped my ice cream	1	1	0
5502	a big sour whore bag should never play hard to get when all she's does is fling up a pussy in all kind of styles to all kinds of men	1	0	0
8761	                      | | shut the fuck up you pussy|                      | \ / i )	1	1	1
6022	reminds stop training it's time to get ripped hashing this cunt bitch literally fuck that	1	1	0
6717	to woman who nelly of wants to drop charges october 14, 2017 at 08 27am mason j wat	0	0	0
7497	if your dick game is strong she'll let you get away with anything as long as you're honest with her	0	0	0
8388	i swear to gawd if i see one more not all men et shit when a woman is killed by a man and y'all don't hold people accountable ism fighting	0	0	0
1036	in the absence of favorable responses from got it's possible that more displaced people will attempt to reoccupy their lands user user user user	0	0	0
532	the v report warned of the intention of angel market and bruises to expand the us relocation scheme to include vulnerable migrants from african nations	0	0	0
3897	user user user user user so you cant stand your own kind either you gotta breed with something else	0	0	0
5924	lmfao , you trying hard hun . you & your sank friend can't reach to me & my girls level bitch bye	1	1	0
3681	make immigrants great again	0	0	0
4197	in dalton, candidate for governor spacey arms touts pro-immigrant policies	0	0	0
2551	how europe’s panic over migration and terrorism is a big opportunity for africa	1	0	0
804	great example as an immigrant and woman cool infra noon (indian-american)  ‘pepsi’s first female coo is stepping down after 12 years	0	0	0
3241	in seeks new funding pledges for palestinian refugees...	0	0	0
2323	fraud election fraud i don't think so if the left is so interested in true elections then we should true the vote dead people...	0	0	0
7030	start your week right with our favorite music video of 2013 featuring one of our best supporters	0	0	0
7573	when you're toasting your boy but you see your girl checking a text	0	0	0
2708	tajikistan charged with beating new york university professor to death another animal.../	0	0	0
4963	user she isn't racist unlike your somalia bitch friend and you always causing shit bye slut	1	1	0
6270	user user reminds me of the annoying bitch cunt from school that first touches you and when you give it back accuses you of assault	1	1	1
2700	same for all immigrants who wants to change our country or came here for free stuff go the hell home camp change your your country camp get free stuff there the benefits in us are paid for u.s.citizens they're not free we work our butts off for our kids camp fellow citizens not you	1	0	1
5467	user in this full length fur coat calling this girl a whore  face with tears of joy  face with tears of joy  face with tears of joy  face with tears of joy  bad bitch	1	1	0
5101	stop smelling those sandwiches you hideous cock she's escaping to the side	1	1	1
5858	her who to do you think you are me	1	1	0
7119	user okay good as long as the men are comrades with same belief/movement can join same group to fight enemies	0	0	0
2763	as the user final begins and user is led by several keep in mind user should take note user user user user	0	0	0
3220	merely macron vow bruises won't tolerate resistance to inundation of muslin migrants via user	1	0	0
2251	user their answer things are only getting back to how they were before you started noticing how damaging this immigration isms its not really just normal's okay not its not okay they have to go back in 2018  it's time to let diversity	1	0	0
4735	user wow to cock got hard want to pull your panties down push you against these door and let you feel my cock deep in your wet puss i	1	1	1
1886	user 1. white people exist 2. white people have the right to exist 3. white people have the right to exist as white people in white communities and nations.https //t.co/fkbxx2cx29remigration 2018  easy come easy go	1	0	1
3110	e throws up barriers in niger to stem migrant flow	0	0	0
6156	user user user bitch please i bet the cunts won't even bother	1	0	0
8007	y am i the nastiest sank bitch ever to live i wanna die	0	0	0
687	you actually found them there so you're the immigrant on the land you claim	0	0	0
1315	jf&amp;cs volunteers bring comfort to areas syria refugees -	0	0	0
1263	user rope being bullied again by islamic countries â£2billion for what short time fixes 75 million immigrants no thanks .	1	0	1
3801	rich camp immigrant	0	0	0
395	as much of the wall is secured away from congress more can be extracted in negotiations for data limiting chain migration visa lottery etch as well as merit-based immigration principles (raiseact)	1	0	0
6496	are you fucking kidding me hers going down a shit hole	0	0	0
7997	not all men care about how sexy you awesome men wait to hear what you say most men fall for ignorance.real men praise intelligence	0	0	0
9183	one of the biggest reason i never wanted to come out to my friends was be i was afraid they'll think i have crush on them when i just being a decent human being so i call them stupid bitch and a fucking hoe overtime i see them	1	0	0
2371	user user there is only anyway for illegal refugees - go home quick	1	0	1
5050	antifeminist sign..... ('women' you want to deny men their balls/gender , here is a sign made by men in response	1	0	0
2093	child care worker charged with sexually assaulting eight children at southwest key immigration shelter	0	0	0
8211	if you didn't fuck the bitch at the same time are you really skim brothers	0	0	0
268	polish prime minister mates morawiecki insisted that poland would push against any discussion on refugee relocation as part of the us migration politics.https //t.co/akup6sjzfk	0	0	0
3808	arc's user spoke to user about how the trump administration's hardline immigration policies are hardly securing the border and are in fact just placing more people into harm's way	0	0	0
7491	when someone with stank breath tries talking to you	0	0	0
1931	son of jamestown, protestants that made the us and conservative for president trump... you can stick lincoln, the guy that used fed troops against citizens and imposed tariffs and taxes on the south cotton... it was written by iris catholic immigrant formerly a never trumpet	0	0	0
5672	user learning yes like how much they nag and how hysterical they get over the most minuscule of things females = unbalanced & crazy	1	0	0
4092	40 migrants refused by malta italy land in tunisia sends morocco funds to help halt migration	1	0	0
4153	germany is the most beloved target for refugees in europe. 2/3 of them go to this destination last year(2016) 388.201 refugees like to settle	0	0	0
4023	the plague of one-dimensional analysis	0	0	0
5034	mathematicians know best women have your man translate these symbols for you if you're confused	1	0	0
7714	vodka is my spirit animal	0	0	0
5993	user he's gonna win in 2020 too you stupid nasty sank	1	1	0
2791	photos trump's border wall under construction	1	0	0
9189	user does it bother you that jars kids look at you and think so that the sank who had daddy dick in his mouth while he was married to mommy she is disgusting you know they think it	1	1	0
5013	bitch are you fucking kidding me so if women get hit by their husbands its cut they're him not be he's an abusive asshole i	1	1	0
