id	cleaned_text	HS	TR	AG
20005	me esto comienzo la picada árabe más rica de mi vida	0	0	0
20006	ser callante zorra y mama duro a	1	1	1
20011	acabo de escuchar a casado dividendo que ha mecenas de misiones de subsaharianos ahora mismo remiendo dinero para venir a europa no se que me asustar más que este idiota liga esas cosa o que haya tanto parado descanso creérselas.	0	0	0
20019	"y nadie se ha preguntador lo que le a a costar al hombre del guantazo la situacion.. porque seguro es que el manda musulmán le a a poner una denuncia que el fallo a a ser ""culpable"", que una pandilla de musulmonos le a a estar esperanto delante de la puerta de su negocio"	1	0	1
20033	ser callante como sobra más zorra son las tuyas	1	1	1
20039	te quieto hacer mi reina árabe bomboncitocaramel	0	0	0
20046	ser callante perra jajajajajaja	1	1	1
20047	en la reina del sur de ser , el personaje del agüero divina también lleva un registro en cuaderno los detalle de todo los vuelo realizados transportador droga esto le cuesta finalmente su vida	0	0	0
20063	ser vieja zorra imbécil y mentirosa que nos creer nos solemne cojudo señor lenón por favor dignifique al ecuador pobre pero no en la cloaca revolucionaria	1	1	1
20101	ser tu tres un hijo de puta pervertidor y pedofilo, una lacra que se debe exterminar basura de mierda no merecer vivir	0	0	0
20111	ser ser ser a que la zorra esto a de matrona por la vida jajajaja. pero si de un soplido la desgracia al adefesio ese	1	1	1
20124	ser mira hijo de puta mejor callante la gran jeta malparado a ella y a cualquier virgen la pueden vestir como le de la gana tú tres el culpable de esta desgracia de que callo sobre venezuela y eso no lo amos a olvidar hijo de puta	0	0	0
20127	una tía no es una guarra por hacer una foto de su culo y tú tres un puto nadi que no se que hacer respirador	0	0	0
20138	ea pues ya solo falta que albera rivera vaya a algeciras a abrazante con los inmigrante subsaharianos	1	1	0
20142	ser claro es un hoyo(coño) que se aire con una tuneladora(polla) sin consentimiento de la naturaleza una macabra violación de libro	0	0	0
20148	racimo es que haya enfrijoladas con frijol agüero y no negro	0	0	0
20161	cada puta semana igual la puta carpeta esto hasta el moño de cepeda no se derecha quedarse. ojalá hagáis un poquito de autocrítica todo los que lo apoyais.	0	0	0
20162	chica súper sufrido cielo la menstruación es una bendición no una maldición mira zorra callante	1	1	1
20175	ay dios cuando se entre casado de que la ola de calor bien dada por la entrada masiva sin papeleo de aire subsahariano	1	0	0
20188	ser hasta el como ad	0	0	0
20210	ser ser tú tres la puta beyoncé siempre querido a	0	0	0
20213	ser perra te lo merecer esa presentación de por bicho estuco a tu altura por fin le chiste justicia a la canción y al álbum britney juan al presentar la canción en un programa de te lucido hermosa acuerdada y sublimidad	1	1	1
20232	ser tú tres la perra no te dijes engañar	1	1	1
20241	ser callante la concha de tu hermana puta	1	1	1
20255	la puta madre que te re mil parir rocío callante	0	0	0
