id	HS_prediction
7317	0
7428	0
1894	0
3395	0
4832	1
6030	1
1650	0
5770	1
4454	0
6000	1
6740	0
3734	0
4559	1
2279	0
8685	1
4247	0
7239	0
5740	1
1660	0
1025	0
6035	1
5502	1
8761	0
6022	1
6717	0
7497	1
8388	0
1036	0
532	0
3897	0
5924	1
3681	0
4197	0
2551	0
804	0
3241	0
2323	0
7030	0
7573	0
2708	0
4963	1
6270	1
2700	1
5467	1
5101	1
5858	0
7119	0
2763	0
3220	0
2251	1
4735	1
1886	0
3110	0
6156	1
8007	1
687	0
1315	0
1263	1
3801	0
395	1
6496	0
7997	0
9183	0
2371	1
5050	1
2093	0
8211	0
268	0
3808	0
7491	0
1931	0
5672	0
4092	0
4153	0
4023	0
5034	0
7714	0
5993	1
2791	0
9189	1
5013	0
2236	0
996	0
6841	0
562	0
8869	1
3884	1
7455	0
6512	0
4241	1
719	0
4849	1
6888	0
2375	0
5144	1
7991	1
8651	1
8543	1
495	0
8393	1
4245	0
667	1
8840	0
3926	0
3736	0
1218	0
262	1
3462	1
323	0
8797	0
5730	0
4697	0
3538	0
958	1
7641	0
8102	0
5807	1
7631	0
7325	0
4605	0
1385	1
5179	1
6136	1
8422	0
3288	0
2219	0
4322	0
5537	0
2238	0
5173	1
5284	0
1335	0
4393	1
1429	1
3359	1
731	1
5812	1
297	1
487	0
8144	0
2081	0
3242	0
4751	1
5554	1
8023	1
4835	0
5112	1
7686	0
6159	1
1527	1
956	0
255	0
4959	1
2556	0
7893	0
1604	0
8244	1
4757	1
7618	0
4527	0
7435	0
3710	1
4812	0
5945	0
3372	0
2698	0
759	1
7338	0
3073	1
6118	1
2488	0
4536	1
5224	0
9151	0
5615	0
8250	0
4027	0
7402	0
7078	0
4336	1
3460	0
8508	0
8241	0
1349	0
3456	0
8490	1
1172	0
1209	1
6393	1
6688	0
2764	1
7772	1
2782	0
235	0
2684	1
5480	1
8617	0
1234	1
7750	0
4463	0
6226	1
2521	1
533	0
2596	1
6309	1
5324	1
3843	1
8055	0
3718	0
4077	0
950	1
3008	0
2473	0
6541	1
6190	0
4252	0
3600	1
649	0
2024	1
1705	1
8099	0
6855	1
7162	0
4012	1
4753	1
1285	0
4483	1
1730	1
4418	1
7512	0
6287	0
1668	0
409	0
337	0
5634	0
8325	0
3548	0
4338	0
1910	0
3652	0
1795	0
1418	0
1087	1
5047	1
4815	0
709	1
5463	1
9063	1
9136	1
5233	1
6951	1
8636	1
415	0
2434	0
5410	0
2085	1
6751	0
7468	0
8879	0
931	1
2089	0
3604	1
4748	1
3819	0
5183	1
3196	1
5392	0
6750	0
5789	1
6081	1
1446	0
4562	1
2113	1
6025	1
1674	0
3823	0
457	0
8522	1
8013	0
3553	0
3712	0
269	1
2833	1
7149	0
3578	0
8458	0
5834	1
1577	0
6057	1
7953	0
4231	0
694	0
9104	1
763	1
544	1
2058	0
723	0
8174	0
4838	1
4702	1
5077	0
5436	1
1440	0
6187	1
3232	0
6446	0
3659	0
515	1
4587	0
7737	0
3098	1
2722	0
4099	1
6443	1
5099	1
1605	1
7920	0
5701	1
2294	1
5115	1
6488	1
5525	0
6978	0
8157	1
5905	1
3164	0
7307	0
5493	0
7010	1
7815	0
4326	1
2776	0
3302	0
8790	0
3189	0
6130	1
4165	0
4010	0
8981	0
5621	0
5383	1
2761	1
3160	1
7440	0
1811	0
5370	1
5504	1
5582	0
9162	0
4088	1
5384	0
6234	1
8089	0
1862	0
1672	0
7721	0
3263	1
7565	0
1921	1
3428	1
3178	1
2829	0
6544	0
5804	1
3418	0
9148	0
6936	0
2552	1
1551	0
231	0
4040	0
8700	1
6240	0
1949	0
2523	1
5012	0
1142	1
7304	0
4590	0
4232	1
7235	0
3424	1
5937	1
551	1
5320	1
4534	1
7060	1
2721	0
5083	1
7315	0
2013	1
664	1
8716	0
4192	0
6766	1
8505	1
7026	1
5411	1
2124	0
7100	0
5722	1
7900	0
6102	1
7980	0
5071	1
6053	0
9026	0
7482	0
6574	1
8263	1
8361	0
7826	0
3072	1
4632	0
8258	1
4935	1
8791	1
309	1
2496	1
1016	1
5026	0
3119	0
9030	0
4895	1
2980	1
2068	1
1005	1
1598	1
2593	1
8371	1
1284	0
9065	0
7872	0
2006	1
5368	1
1174	0
4567	0
2504	0
7820	0
494	0
4870	1
3450	0
7425	0
6861	0
279	0
338	0
7791	0
4005	0
1089	0
451	1
6664	0
6554	0
8455	0
5251	1
1889	1
2688	0
9029	0
1841	0
9056	1
7948	0
572	0
8145	0
4630	1
5805	1
4213	0
585	0
832	0
8010	0
1477	0
3050	0
1444	0
6073	0
3881	1
5632	0
5948	0
7518	0
5616	0
6134	0
3334	0
4891	1
873	0
6521	0
2276	0
3729	1
6919	0
7886	0
1792	0
4623	0
1470	0
4897	1
1763	0
1782	1
8712	1
1374	0
4204	0
2796	0
5078	0
7233	0
5136	0
8334	0
3754	0
4779	0
4069	1
8632	1
8835	1
2161	0
6218	1
8192	0
3773	0
3206	0
4865	0
2919	1
8870	0
4703	1
5475	1
7756	0
5518	1
8986	1
3449	0
6088	0
1203	1
3407	0
421	0
9117	1
7856	0
5550	0
6150	1
8203	0
4334	0
6811	0
4905	1
7170	0
5365	1
8794	0
1671	0
7197	0
1038	0
9158	1
2601	0
8638	1
1866	0
4671	0
3219	1
815	1
8820	0
4284	0
2202	0
7633	1
319	1
8642	1
7283	0
8832	0
2785	0
5647	1
4769	0
1847	0
6648	0
8429	1
7090	0
5663	1
466	0
3966	0
3777	0
1245	0
2526	0
1568	0
3918	0
3451	0
4943	1
2529	1
6110	1
2921	1
1166	0
1757	0
8044	0
6043	0
2033	1
2486	1
7655	0
2511	1
4499	0
3629	1
460	0
8498	0
8094	0
7110	0
6005	0
8471	0
7196	1
8328	0
875	0
5786	1
372	1
3001	0
8816	1
870	1
8511	1
386	1
615	0
1491	1
5578	1
1736	0
2990	0
5803	1
5444	1
5236	1
1764	1
1380	1
7760	0
6066	1
7595	0
8689	0
8177	0
834	1
1314	0
5241	1
2875	0
1983	1
6220	1
4598	1
2239	0
6730	1
4306	0
8462	0
6395	0
6650	1
4663	0
971	0
7357	0
3010	0
3217	0
5367	1
8065	0
4552	1
3161	1
8095	1
5655	1
1926	0
1790	0
5817	1
2527	0
7174	0
8451	1
1206	1
530	0
7503	0
3249	1
3273	0
5067	1
794	0
8005	0
7207	0
4526	1
3031	0
2579	0
4171	0
4675	0
3962	0
2811	0
4131	0
6440	0
4853	1
6558	0
1191	0
1685	0
8623	0
3854	0
2311	0
1186	0
8727	1
5849	1
795	0
9014	1
7444	0
7571	1
7972	0
4880	1
7003	1
5796	1
5433	1
3069	0
8321	1
5257	1
5460	1
5984	0
7457	0
6632	0
6406	1
2887	1
4727	0
4503	0
8868	0
5717	0
6765	0
7617	0
6456	1
4006	0
2547	0
3608	1
3311	1
7093	1
4754	0
5626	0
1965	0
2198	0
3986	1
1769	1
1573	0
7758	0
4879	1
5355	0
4238	0
4271	1
5490	1
8054	0
6519	0
4177	0
4218	1
6120	0
1140	1
4869	1
7335	0
5122	0
1554	0
6139	1
3066	0
566	0
393	0
423	0
3726	0
730	0
3564	1
8941	0
2892	0
2084	0
1956	0
2306	0
3431	0
3991	0
7646	0
3873	0
1075	0
841	1
7586	0
4976	1
6622	0
5338	1
6846	0
8472	0
1127	0
5246	1
3656	0
8173	0
6929	1
1151	0
7907	0
1971	0
8262	1
8181	1
713	0
6836	0
4537	1
1516	0
1244	1
3306	0
3518	0
3779	1
6525	0
6538	0
5971	0
2173	1
1340	1
6113	0
4435	0
7080	1
3526	0
6939	0
4366	0
3921	1
2817	1
8903	0
4070	0
8377	0
444	1
8092	0
6594	0
3174	0
3329	0
6060	1
7017	0
3762	1
8762	0
4543	0
6658	1
8772	0
7450	0
5137	1
6033	1
7735	0
2192	0
3748	0
2629	1
7375	0
9060	0
2650	0
8900	0
9164	1
6552	0
2895	1
6504	0
5285	1
6247	0
2402	0
5690	1
8605	1
6018	0
8246	0
5707	1
531	0
314	1
7137	0
4741	1
6097	1
6560	0
7377	0
317	1
1809	0
5836	1
5556	1
820	1
7945	0
9170	1
7932	0
2837	0
8201	0
6449	1
1938	0
2792	0
4544	0
7314	0
3763	1
2075	0
7921	0
7525	0
3943	1
7313	0
605	0
8017	1
822	0
8240	0
2230	0
3481	0
7117	0
7021	0
6992	0
5953	1
8348	0
2692	0
6881	0
7238	1
8742	0
7985	0
4047	0
6614	0
7099	0
2483	1
1998	0
2514	1
7398	0
7474	0
4834	0
927	1
7958	0
9079	1
7880	0
2930	1
5456	1
1397	1
7198	0
6125	0
6523	1
7034	0
782	1
6883	0
8111	0
823	0
1122	0
7739	0
7013	0
427	0
274	0
3635	0
8709	0
3200	1
3561	1
5090	0
6303	0
4436	0
9199	1
4762	1
1507	0
1670	0
4379	0
4323	1
1293	0
7715	0
3514	0
7898	0
8284	1
6399	1
4941	0
1409	1
1588	0
8853	1
7229	0
5049	1
5386	0
7046	0
1367	0
6627	1
1488	1
8843	1
3477	0
1400	0
8133	0
8484	0
8992	0
1262	1
4628	0
1972	0
3713	0
8434	0
4279	0
8491	0
3770	0
5060	1
3619	0
5665	1
6141	0
4860	1
2926	1
4767	1
4351	0
1558	0
5976	1
953	0
4795	1
1513	0
2813	0
8367	1
8950	0
2771	0
5188	1
1471	0
8682	0
1252	1
3040	1
8652	0
9128	0
7151	0
3373	0
5164	0
6697	0
2404	0
884	0
6557	0
3601	1
8008	0
5023	1
7804	0
1482	1
1464	0
8775	1
7819	0
8183	0
7403	0
5541	1
4111	0
