id	HS_prediction
20005	0
20006	1
20011	0
20019	1
20033	1
20039	0
20046	1
20047	0
20063	1
20101	0
20111	1
20124	0
20127	0
20138	0
20142	0
20148	0
20161	0
20162	1
20175	1
20188	0
20210	1
20213	0
20232	1
20241	0
20255	0
20265	0
20288	1
20302	0
20303	0
20305	1
20307	0
20315	1
20337	0
20340	1
20341	1
20353	1
20370	0
20376	1
20399	1
20400	0
20414	1
20429	0
20430	0
20451	0
20458	1
20464	1
20496	0
20511	1
20516	0
20526	0
20536	1
20539	0
20552	0
20565	0
20573	1
20579	1
20584	0
20590	1
20591	1
20603	1
20612	0
20617	1
20620	1
20623	1
20644	0
20650	0
20652	1
20657	1
20686	0
20711	0
20717	0
20720	0
20737	1
20738	0
20741	1
20747	1
20748	1
20749	0
20750	0
20751	1
20794	0
20800	0
20803	0
20813	0
20814	0
20819	0
20824	0
20833	1
20835	1
20837	1
20861	0
20865	0
20872	0
20873	0
20918	0
20922	0
20928	0
20933	0
20935	1
20940	0
20942	0
20943	0
20946	1
20951	1
20952	1
20953	1
20981	1
20986	0
20990	0
21015	1
21034	1
21044	0
21050	0
21066	1
21072	1
21076	1
21077	1
21081	0
21100	0
21104	1
21116	1
21124	1
21144	1
21149	0
21152	0
21155	1
21169	0
21170	0
21172	0
21215	0
21221	0
21222	1
21228	0
21238	0
21249	0
21255	0
21257	1
21263	0
21269	0
21277	1
21282	1
21284	0
21297	1
21305	0
21327	0
21333	1
21335	0
21339	0
21351	0
21387	0
21398	0
21402	0
21417	1
21433	1
21438	1
21440	0
21449	1
21455	0
21469	0
21491	0
21493	0
21497	1
21535	0
21565	0
21571	0
21598	0
21599	1
21603	1
21612	0
21616	0
21617	1
21619	0
21622	0
21631	0
21637	1
21643	1
21660	1
21667	0
21670	1
21671	1
21705	0
21727	0
21769	1
21771	0
21778	0
21788	1
21812	1
21824	0
21826	1
21832	1
21841	1
21859	0
21867	1
21873	1
21877	1
21880	1
21887	0
21892	1
21895	1
21908	0
21920	1
21927	0
21938	1
21941	0
21943	0
21944	0
21948	1
21955	1
21959	1
21966	1
21992	0
22005	0
22008	0
22012	1
22014	0
22021	1
22028	1
22037	0
22062	1
22065	0
22067	1
22082	0
22115	0
22128	0
22132	0
22142	1
22152	0
22163	0
22165	0
22168	0
22189	1
22199	1
22209	1
22214	0
22218	1
22237	0
22243	0
22245	0
22255	1
22285	0
22290	0
22297	0
22328	1
22346	0
22375	1
22381	1
22388	1
22401	0
22416	0
22417	0
22418	0
22429	0
22437	0
22450	0
22451	0
22456	0
22457	0
22471	1
22479	0
22517	0
22528	0
22560	0
22574	0
22575	0
22589	1
22592	1
22594	0
22632	0
22658	1
22660	1
22661	0
22669	1
22676	1
22679	0
22711	1
22714	0
22718	0
22725	1
22729	0
22739	0
22768	1
22782	0
22787	0
22800	0
22801	1
22811	0
22814	0
22815	0
22822	0
22826	0
22834	0
22835	0
22846	1
22848	1
22861	1
22867	0
22877	0
22885	1
22888	0
22889	1
22894	0
22898	0
22920	1
22938	0
22952	0
22953	1
22954	0
22971	1
22972	1
22998	0
23003	1
23009	1
23019	1
23021	1
23059	1
23086	1
23088	0
23090	0
23098	0
23122	0
23123	0
23179	1
23192	1
23215	1
23217	1
23234	0
23246	1
23247	0
23250	0
23255	1
23259	1
23308	0
23320	1
23325	0
23333	1
23337	1
23341	0
23342	0
23345	0
23363	0
23374	0
23380	1
23386	0
23387	0
23390	1
23392	0
23394	0
23396	1
23415	1
23429	0
23439	0
23444	0
23446	0
23450	1
23493	0
23506	1
23520	1
23532	0
23542	1
23545	1
23565	1
23568	1
23580	0
23596	0
23614	0
23615	1
23622	0
23633	1
23635	0
23647	0
23651	0
23652	0
23663	0
23687	0
23688	0
23690	0
23716	0
23728	0
23735	0
23742	0
23750	0
23751	1
23754	1
23755	1
23777	1
23783	1
23800	0
23827	0
23830	1
23875	0
23900	0
23901	1
23912	0
23922	1
23926	0
23928	0
23935	0
23943	1
23944	0
23954	1
23957	1
23979	1
23988	1
23989	0
23990	0
23991	0
24019	1
24024	0
24028	1
24031	0
24055	1
24062	1
24066	0
24083	0
24099	0
24104	1
24115	0
24123	1
24126	0
24140	0
24147	1
24155	1
24159	1
24160	0
24172	0
24180	1
24188	0
24190	0
24209	0
24247	0
24290	0
24294	0
24301	1
24310	1
24311	0
24321	0
24326	0
24338	1
24350	0
24352	1
24356	0
24357	1
24368	1
24373	1
24374	0
24397	1
24401	0
24402	1
24413	0
24431	0
24434	1
24442	0
24451	0
24467	1
24481	1
24488	0
24492	0
24520	1
24527	0
24529	1
24536	0
24544	0
24564	1
24569	1
24576	1
24590	0
24624	0
24625	0
24632	0
24646	1
24649	1
24651	0
24677	0
24686	1
24691	0
24692	0
24696	1
24701	1
24705	0
24733	0
24736	1
24746	0
24768	1
24773	0
24817	0
24821	0
24822	0
24845	1
24864	0
24870	0
24895	0
24907	1
24909	0
24925	1
24928	1
24930	1
24953	0
24973	1
24983	1
24986	1
